state_id,fips,population
MI,26157,52245
MI,26159,75677
MI,26161,367601
MI,26163,1749343
MI,26165,33631
MN,00027,5639632
MN,27001,15886
MN,27003,356921
MN,27005,34423
MN,27007,47188
MN,27009,40889
MN,27011,4991
MN,27013,67653
MN,27015,25008
MN,27017,35871
MN,27019,105089
MN,27021,29779
MN,27023,11800
MN,27025,56579
MN,27027,64222
MN,27029,8818
MN,27031,5463
MN,27033,11196
MN,27035,65055
MN,27037,429021
MN,27039,20934
MN,27041,38141
MN,27043,13653
MN,27045,21067
MN,27047,30281
MN,27049,46340
MN,27051,5972
MN,27053,1265843
MN,27055,18600
MN,27057,21491
MN,27059,40596
MN,27061,45130
MN,27063,9846
MN,27065,16337
MN,27067,43199
MN,27069,4298
MN,27071,12229
MN,27073,6623
MN,27075,10641
MN,27077,3740
MN,27079,28887
MN,27081,5639
MN,27083,25474
MN,27085,35893
MN,27087,5527
MN,27089,9336
MN,27091,19683
MN,27093,23222
MN,27095,26277
MN,27097,33386
MN,27099,40062
MN,27101,8194
MN,27103,34274
MN,27105,21629
MN,27107,6375
MN,27109,158293
MN,27111,58746
MN,27113,14119
MN,27115,29579
MN,27117,9126
MN,27119,31364
MN,27121,11249
MN,27123,550321
MN,27125,4055
MN,27127,15170
MN,27129,14548
MN,27131,66972
MN,27133,9315
MN,27135,15165
MN,27137,199070
MN,27139,149013
MN,27141,97238
MN,27143,14865
MN,27145,161075
MN,27147,36649
MN,27149,9805
MN,27151,9266
MN,27153,24664
MN,27155,3259
MN,27157,21627
MN,27159,13682
MN,27161,18612
MN,27163,262440
MN,27165,10897
MN,27167,6207
MN,27169,50484
MN,27171,138377
MN,27173,9709
MS,00028,2976149
MS,28001,30693
MS,28003,36953
MS,28005,12297
MS,28007,18174
MS,28009,8259
MS,28011,30628
MS,28013,14361
MS,28015,9947
MS,28017,17103
MS,28019,8210
MS,28021,8988
MS,28023,15541
MS,28025,19316
MS,28027,22124
MS,28029,28065
MS,28031,18636
MS,28033,184945
MS,28035,74897
MS,28037,7713
MS,28039,24500
MS,28041,13586
MS,28043,20758
MS,28045,47632
MS,28047,208080
MS,28049,231840
MS,28051,17010
MS,28053,8064
MS,28055,1327
MS,28057,23390
MS,28059,143617
MS,28061,16383
MS,28063,6990
MS,28065,11128
MS,28067,68098
MS,28069,9742
MS,28071,54019
MS,28073,63343
MS,28075,74125
MS,28077,12586
MS,28079,22786
MS,28081,85436
MS,28083,28183
MS,28085,34153
MS,28087,58595
MS,28089,106272
MS,28091,24573
MS,28093,35294
MS,28095,35252
MS,28097,9775
MS,28099,29118
MS,28101,21018
MS,28103,10417
MS,28105,49587
MS,28107,34192
MS,28109,55535
